Year,Agricultural land (% of land area),"Birth rate, crude (per 1,000 people)",Current account balance (% of GDP),Current health expenditure (% of GDP),"Death rate, crude (per 1,000 people)",Expense (% of GDP),Exports of goods and services (% of GDP),Exports of goods and services (annual % growth),"Fertility rate, total (births per woman)",Final consumption expenditure (% of GDP),Final consumption expenditure (annual % growth),"Foreign direct investment, net inflows (% of GDP)","Foreign direct investment, net outflows (% of GDP)",GDP growth (annual %),GDP per capita growth (annual %),GNI growth (annual %),GNI per capita growth (annual %),Gross capital formation (% of GDP),Gross capital formation (annual % growth),Gross domestic savings (% of GDP),Gross savings (% of GDP),Imports of goods and services (% of GDP),Imports of goods and services (annual % growth),"Inflation, GDP deflator (annual %)","Inflation, consumer prices (annual %)","Labor force, total","Life expectancy at birth, total (years)","Manufacturing, value added (% of GDP)",Military expenditure (% of GDP),Mobile cellular subscriptions (per 100 people),Population growth (annual %),"Population, total","Revenue, excluding grants (% of GDP)","Services, value added (% of GDP)",Tax revenue (% of GDP),"Unemployment, total (% of total labor force) (national estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)",Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e)
1990,53.86456475,21.06,3.324577232,..,6.67,..,13.61471017,..,2.514,63.64912297,..,0.966308311,0.230007427,3.920251368,2.406558572,..,..,34.15784885,..,36.35087703,36.69418976,10.65842194,..,5.711224169,3.052290121,639912098,68.005,..,2.454016116,0.001587842,1.467303211,1135185000,..,32.38277311,..,2.5,..,2414.2798
1991,54.47010891,19.68,3.461899766,..,6.7,..,14.48787814,..,1.934,61.91879155,..,1.138837732,0.238149072,9.262786085,7.782091992,..,..,35.23636005,..,38.08120845,38.50116974,11.46184596,..,6.714536958,3.556685652,646245556,68.169,..,2.311243412,0.004061416,1.364434008,1150780000,..,34.47853688,..,2.3,2.37,2550.1993
1992,54.78273374,18.27,1.499359197,..,6.64,..,15.65821968,..,1.776,59.71528287,..,2.613162193,0.936953099,14.22452959,12.83320958,..,..,39.07186801,..,40.28471713,40.60555263,14.48749678,..,8.190323022,6.35398134,652547071,68.734,..,2.449542068,0.014946866,1.225536228,1164970000,..,35.55580572,..,2.3,2.37,2669.7809
1993,55.19910526,18.09,-2.610340324,..,6.64,..,16.70229455,..,1.691,58.34890147,..,6.186882076,0.98936148,13.8837293,12.58199664,..,..,43.28314976,..,41.65109853,41.70723462,19.35378332,..,15.18586451,14.61007864,658329022,69.216,..,1.928066874,0.053350925,1.149619431,1178440000,..,34.51599613,..,2.6,2.69,2890.2011
1994,55.6901446,17.7,1.224124131,..,6.49,..,18.53684105,..,1.628,58.17905413,..,5.987186165,0.354407681,13.03680663,11.76638915,..,..,40.05028547,..,41.82094587,41.69672689,17.2331524,..,20.61698881,24.25698972,664565882,69.52,..,1.693479599,0.129878018,1.130260632,1191835000,..,34.36265612,..,2.8,2.9,3046.9517
1995,55.69020391,17.12,0.220343556,..,6.57,..,17.95255937,..,1.588,59.062278,..,4.8808632,0.2722997,10.95395434,9.754954889,..,..,38.8377198,..,40.937722,39.53009973,16.32447947,..,13.6656964,16.79122517,671238114,70.008,..,1.686233887,0.29791213,1.086509151,1204855000,..,33.65293801,..,2.9,3,3365.8147
1996,55.69441737,16.98,0.838553487,..,6.56,..,17.92324166,..,1.554,60.04746967,10.31972844,4.651812663,0.244746938,9.922556753,8.776429811,10.06615914,8.918534905,37.54172047,12.37563244,39.95253033,38.75912419,15.89140213,..,6.506730635,8.313160289,678359927,70.266,..,1.65272667,0.557926117,1.048141514,1217550000,..,33.57027127,..,3,3.12,3340.3022
1997,55.694444,16.57,3.843898071,..,6.51,..,19.49320443,..,1.527,59.64839474,6.544069974,4.725343843,0.391534135,9.236779892,8.124497577,9.536972115,8.421633151,35.52294565,4.832258436,40.35160526,39.74224218,15.03988374,..,1.616568742,2.786465055,686473251,70.672,..,1.632650673,1.069072913,1.023450024,1230075000,..,35.00567727,..,3.1,3.23,3437.3624
1998,55.69447063,15.64,3.058322851,..,6.5,..,18.34200698,..,1.522,60.45133473,8.781532555,4.435501024,0.43991572,7.845951787,6.816064564,7.374780574,6.349392855,34.81368233,8.16247908,39.54866527,38.34708494,14.08213315,..,-0.900251629,-0.773186012,694001983,71.172,..,1.655080691,1.913884263,0.959550406,1241935000,..,37.04332902,..,3.1,3.24,3522.1029
1999,55.69449726,14.64,1.93006629,..,6.46,..,18.16258646,..,1.53,62.57130759,11.48252737,3.748981237,0.368920083,7.6616515,6.733485658,7.945374667,7.014762808,34.10970891,6.083098095,37.42869241,36.55791218,15.36177779,..,-1.263058939,-1.401472683,700421936,71.419,..,1.871465914,3.448689963,0.865851393,1252735000,..,38.57534809,..,3.1,3.25,3447.8801
